System imbalance forecast,Input data availability,"Probability in [-400,-200]",Prediction Datetime,"Probability in [400,inf]","Probability in [-inf,-400]","Probability in [-200,0]",Resolution code,Quarter hour,"Probability in [0,200]","Probability in [200,400]"
77.30603821699296,1.0,0.0003986127682352882,2023-01-27T03:06:06+00:00,0.0011014706754035506,1.2056030116274705e-07,0.15627065066447096,PT1M,2023-01-27T03:00:00+00:00,0.7608466933009607,0.0813824520306284
82.6269002088151,1.0,0.0024641916323812135,2023-01-27T03:05:06+00:00,0.0037238057894268964,1.1219887426643182e-05,0.1932878164357149,PT1M,2023-01-27T03:00:00+00:00,0.6766885160191477,0.12382445023590274
82.6269002088151,1.0,0.0024641916323812135,2023-01-27T03:04:06+00:00,0.0037238057894268964,1.1219887426643182e-05,0.1932878164357149,PT1M,2023-01-27T03:00:00+00:00,0.6766885160191477,0.12382445023590274
60.59359751972965,1.0,0.029008723933532325,2023-01-27T03:03:06+00:00,0.0027591190939255427,0.0015061445230749877,0.3805852327762263,PT1M,2023-01-27T03:00:00+00:00,0.5240926758521299,0.06204810382111088
-0.25982016157530197,1.0,0.05024497070831682,2023-01-27T03:02:06+00:00,0.0012477101235844287,0.003962631029670057,0.4910468535095705,PT1M,2023-01-27T03:00:00+00:00,0.4202784147148624,0.03321941991399566
-39.45704381614192,1.0,0.05239130204661083,2023-01-27T03:01:06+00:00,0.0016642178067606261,0.0041496875978923615,0.4930441443805184,PT1M,2023-01-27T03:00:00+00:00,0.4110429641688897,0.03770768399932812
-15.108733528458878,1.0,0.04669930710668059,2023-01-27T03:00:06+00:00,0.0021688764618957293,0.004090722533971605,0.44335837121174865,PT1M,2023-01-27T03:00:00+00:00,0.45528074478069624,0.04840197790500722
-6.229953293405973,1.0,9.050855495893503e-06,2023-01-27T02:59:06+00:00,1.6401624907640213e-12,2.7307472432625944e-13,0.6653394918645856,PT1M,2023-01-27T02:45:00+00:00,0.33464491368728944,6.543590715740362e-06
-12.25390569880783,1.0,3.952281113193192e-05,2023-01-27T02:58:07+00:00,2.9952527526593307e-11,1.0886751095339496e-11,0.6694929998626571,PT1M,2023-01-27T02:45:00+00:00,0.3304439857064512,2.3491578920520547e-05
-14.199001106875336,1.0,0.00011549222029755346,2023-01-27T02:57:06+00:00,4.3889345917785705e-10,1.9458313586808048e-10,0.6404062796723141,PT1M,2023-01-27T02:45:00+00:00,0.3594018097239439,7.641774996779868e-05
-2.9176676703407587,1.0,0.0002707425325947721,2023-01-27T02:56:06+00:00,5.9178213701503924e-09,1.7583536770464388e-09,0.6288198018528415,PT1M,2023-01-27T02:45:00+00:00,0.37066910898227756,0.000240338956111078
-16.772451894973585,1.0,0.0006398172035414386,2023-01-27T02:55:06+00:00,3.7517633061443986e-08,1.593958051880182e-08,0.5782614453523293,PT1M,2023-01-27T02:45:00+00:00,0.420531072205016,0.0005676117818997002
6.53979584448949,1.0,0.0014096493567758975,2023-01-27T02:54:06+00:00,1.1920271801460827e-07,1.2148790463861872e-07,0.522464523960524,PT1M,2023-01-27T02:45:00+00:00,0.4750501386759323,0.0010754473161451701
-25.98203108721844,1.0,0.006977125591916376,2023-01-27T02:53:06+00:00,1.0076749801093365e-06,4.2146669514686664e-06,0.6618097924379138,PT1M,2023-01-27T02:45:00+00:00,0.32972410018024845,0.0014837594479897849
-23.403484303397832,1.0,0.007633988939138166,2023-01-27T02:52:06+00:00,8.639180362638539e-06,7.510273302291205e-06,0.5789539951872207,PT1M,2023-01-27T02:45:00+00:00,0.40885881206025676,0.004537054359719408
18.849677362036115,1.0,0.003707127311347073,2023-01-27T02:51:06+00:00,9.888042629107734e-05,4.9076909620893786e-06,0.3454962227299182,PT1M,2023-01-27T02:45:00+00:00,0.6266991726317271,0.02399368920975451
49.14119956737422,1.0,0.0031743880228009887,2023-01-27T02:50:06+00:00,0.0004334455566528808,8.253012719669631e-06,0.24086261862871514,PT1M,2023-01-27T02:45:00+00:00,0.6952741998831773,0.06024709489593419
61.879174089077495,1.0,0.006648816665064771,2023-01-27T02:49:07+00:00,0.0011917109952488988,4.7129656613967404e-05,0.2880875024316178,PT1M,2023-01-27T02:45:00+00:00,0.6225836543685775,0.08144118588287706
117.99503550475936,1.0,0.001847141397014031,2023-01-27T02:48:07+00:00,0.030426608129172236,2.3920393171278464e-05,0.10383683694132352,PT1M,2023-01-27T02:45:00+00:00,0.5598141350617386,0.3040513580775803
125.31869829974795,1.0,0.0024239267054068105,2023-01-27T02:47:06+00:00,0.01706037771432671,3.043369081736204e-05,0.12904547119603238,PT1M,2023-01-27T02:45:00+00:00,0.5207825726443523,0.3306572180490642
135.13450615079736,1.0,0.003265346809660248,2023-01-27T02:46:07+00:00,0.016619870080304616,4.698897927953182e-05,0.13955683364786126,PT1M,2023-01-27T02:45:00+00:00,0.523227899298824,0.3172830611840704
139.9284183345628,1.0,0.004618110868372125,2023-01-27T02:45:06+00:00,0.015054029296395035,8.25381185842207e-05,0.15337992735605008,PT1M,2023-01-27T02:45:00+00:00,0.5335725236486419,0.29329287071195664
109.79043766860377,1.0,2.375952100481236e-11,2023-01-27T02:44:07+00:00,1.236956020970491e-08,1.1255733934189738e-20,0.0006452423297450094,PT1M,2023-01-27T02:30:00+00:00,0.9968477449828885,0.002507000294046665
109.61478546417983,1.0,2.7095422418617348e-09,2023-01-27T02:43:06+00:00,5.403006359878847e-08,2.1370848100745274e-17,0.004320788533565548,PT1M,2023-01-27T02:30:00+00:00,0.992538310471133,0.003140844255695627
75.62581436342678,1.0,1.1747971842634997e-07,2023-01-27T02:42:07+00:00,2.5164579121599265e-07,8.950965655320051e-15,0.022391080043541334,PT1M,2023-01-27T02:30:00+00:00,0.973234144126318,0.004374406704622111
71.42716022008997,1.0,1.1199266308090104e-06,2023-01-27T02:41:06+00:00,9.548128242251827e-07,6.173393161230027e-13,0.03929670393581452,PT1M,2023-01-27T02:30:00+00:00,0.9546335279686874,0.006067693355425674
72.64322610574627,1.0,1.2691314821571697e-05,2023-01-27T02:40:06+00:00,2.4848849387425374e-06,4.1149079956054557e-11,0.0853211054223524,PT1M,2023-01-27T02:30:00+00:00,0.9076323912510308,0.0070313270857074
51.8563884152842,1.0,9.962422109306852e-05,2023-01-27T02:39:07+00:00,5.945158087611903e-06,1.1955547856655725e-09,0.1752309948000506,PT1M,2023-01-27T02:30:00+00:00,0.8160081090179523,0.008655325607261647
49.89993862594849,1.0,0.0003910763344398609,2023-01-27T02:38:06+00:00,3.909063381020617e-05,5.579858867514738e-08,0.23327024420964204,PT1M,2023-01-27T02:30:00+00:00,0.745622664481839,0.020676868541680264
72.02473666253881,1.0,0.0004558123235903993,2023-01-27T02:37:06+00:00,0.00018749334626321689,1.3871287282099591e-07,0.1631490278038125,PT1M,2023-01-27T02:30:00+00:00,0.7931294447769234,0.04307808303653783
48.267725965042416,1.0,0.0019420681208745338,2023-01-27T02:36:06+00:00,0.00027472432864186216,1.1710724005596789e-06,0.2670131303069237,PT1M,2023-01-27T02:30:00+00:00,0.7001337191033898,0.030635187067769496
71.2300520939724,1.0,0.0015315024343019931,2023-01-27T02:35:06+00:00,0.0016038087841816937,1.5101055633873333e-06,0.18228440497714585,PT1M,2023-01-27T02:30:00+00:00,0.7163399744687273,0.0982387992300798
79.21901499809218,1.0,0.0012861455134304714,2023-01-27T02:34:07+00:00,0.007652154700493734,3.9966487377828415e-06,0.11194648844749029,PT1M,2023-01-27T02:30:00+00:00,0.6766896245739293,0.20242159011591843
49.6727317933621,1.0,0.017243368824115195,2023-01-27T02:33:06+00:00,0.009769962954986632,0.00034289019221285137,0.28830593826020856,PT1M,2023-01-27T02:30:00+00:00,0.5543820522282391,0.1299557875402377
45.10151801846024,1.0,0.019685438484844338,2023-01-27T02:32:06+00:00,0.008312139362893977,0.0003588085676072692,0.28613081423458797,PT1M,2023-01-27T02:30:00+00:00,0.5668787365550967,0.11863406279496991
57.859889500742355,1.0,0.021142547929895318,2023-01-27T02:31:06+00:00,0.00991243070570323,0.00040476431671904937,0.2931820301822556,PT1M,2023-01-27T02:30:00+00:00,0.5500579689868037,0.12530025787862314
41.84821466051719,1.0,0.023376155411901977,2023-01-27T02:30:06+00:00,0.011634296353817502,0.00045387786611014226,0.3051892303599196,PT1M,2023-01-27T02:30:00+00:00,0.5281605150661118,0.1311859249421389
88.66637050914011,1.0,1.179585178623726e-10,2023-01-27T02:29:07+00:00,9.959498844980558e-09,6.220318919310757e-20,0.0024112813980366153,PT1M,2023-01-27T02:15:00+00:00,0.9954329807139588,0.0021557278105473134
91.70248256614441,1.0,5.297564484304848e-09,2023-01-27T02:28:06+00:00,5.3795806559093816e-08,4.6864661123673994e-17,0.008836618598055554,PT1M,2023-01-27T02:15:00+00:00,0.9878423845519928,0.0033209377565805434
78.01787504461582,1.0,1.4442356438324535e-07,2023-01-27T02:27:09+00:00,2.0526602576737044e-07,1.409051282971445e-14,0.028635929461429583,PT1M,2023-01-27T02:15:00+00:00,0.967333959871473,0.004029760977493167
69.54833138571044,1.0,1.7384887430004573e-06,2023-01-27T02:26:06+00:00,9.257982014562404e-07,1.0547105227417375e-12,0.06982187580658776,PT1M,2023-01-27T02:15:00+00:00,0.9241656295669453,0.006009830338467844
49.826260754520234,1.0,1.2989536036811593e-05,2023-01-27T02:25:06+00:00,3.2278098351110897e-06,3.674179417643293e-11,0.1325475036102505,PT1M,2023-01-27T02:15:00+00:00,0.8588840101440469,0.00855226886308896
59.27423833484745,1.0,4.301661006461194e-05,2023-01-27T02:24:06+00:00,7.669720971569605e-06,5.068400111074457e-10,0.13965218144668926,PT1M,2023-01-27T02:15:00+00:00,0.8480428047690446,0.012254326946390056
60.51001063798679,1.0,0.00020663460097289002,2023-01-27T02:23:06+00:00,7.83287309442033e-05,1.8356374930373296e-08,0.1588248234029742,PT1M,2023-01-27T02:15:00+00:00,0.8042769656932959,0.03661322921543798
40.036592150004026,1.0,0.0013275346705625228,2023-01-27T02:22:06+00:00,8.23879471794522e-05,4.516109675244049e-07,0.3074744161448042,PT1M,2023-01-27T02:15:00+00:00,0.663618234644633,0.027496974981853495
18.068289434933323,1.0,0.004110924342171031,2023-01-27T02:21:07+00:00,8.75658612916343e-05,4.404874210200001e-06,0.39239394771323416,PT1M,2023-01-27T02:15:00+00:00,0.581603714561568,0.021799442647525008
14.575244110882082,1.0,0.00871372211065549,2023-01-27T02:20:06+00:00,0.00019190476368755936,2.5045977208158473e-05,0.407510719377041,PT1M,2023-01-27T02:15:00+00:00,0.5539388099240358,0.02961979784737204
-9.815245174250204,1.0,0.031005486949990547,2023-01-27T02:19:07+00:00,0.0002240884844301846,0.00040198111460618076,0.5216987160328647,PT1M,2023-01-27T02:15:00+00:00,0.42387703914424324,0.022792688273865273
-1.985021948713861,1.0,0.040921705333761015,2023-01-27T02:18:06+00:00,0.0019737453713120014,0.0017605465233725955,0.44326506872366395,PT1M,2023-01-27T02:15:00+00:00,0.4583074746459232,0.0537714594019673
10.59268155081583,1.0,0.04010877367582687,2023-01-27T02:17:07+00:00,0.001962166079577454,0.0015665612942933952,0.439728184939425,PT1M,2023-01-27T02:15:00+00:00,0.45955814614651036,0.05707616786436697
4.073676232071502,1.0,0.05236032109172079,2023-01-27T02:16:07+00:00,0.0018576433190170408,0.0026347929729222497,0.4722279689683967,PT1M,2023-01-27T02:15:00+00:00,0.41911679268773505,0.05180248096020827
-10.139417645958382,1.0,0.06336325850570032,2023-01-27T02:15:06+00:00,0.0017961011177091881,0.003823423105295767,0.49051183950522614,PT1M,2023-01-27T02:15:00+00:00,0.3914828771391972,0.04902250062687137
-89.51678712939497,1.0,0.0038008508075194412,2023-01-27T02:14:06+00:00,1.3856738990085582e-18,1.1126112334226672e-08,0.9950932594296032,PT1M,2023-01-27T02:00:00+00:00,0.0011058784968041501,1.3996090744978736e-10
-90.88063754089153,1.0,0.009020245366547353,2023-01-27T02:13:06+00:00,1.2634259971366893e-16,1.595143958430364e-07,0.9882323380310937,PT1M,2023-01-27T02:00:00+00:00,0.0027472551671992207,1.9207637606904283e-09
-97.6050965736592,1.0,0.01707994007944176,2023-01-27T02:12:06+00:00,6.807960437252169e-15,1.3194643040243494e-06,0.9771492080266044,PT1M,2023-01-27T02:00:00+00:00,0.005769515222832382,1.7206810377075062e-08
-94.52600486159903,1.0,0.02720701198936877,2023-01-27T02:11:06+00:00,3.123104408052778e-13,6.337853317461421e-06,0.960539130214511,PT1M,2023-01-27T02:00:00+00:00,0.012247373193719465,1.4674877098479208e-07
-105.39852362977902,1.0,0.05221550772446364,2023-01-27T02:10:06+00:00,4.704874651149854e-12,3.599339031033815e-05,0.9281869523872538,PT1M,2023-01-27T02:00:00+00:00,0.019560876546715796,6.699465516688726e-07
-86.50202698462458,1.0,0.10099893654328784,2023-01-27T02:09:06+00:00,3.203584110153078e-11,0.00017705388180770654,0.8728591760601678,PT1M,2023-01-27T02:00:00+00:00,0.025962637244256796,2.196238444102796e-06
-163.2187344495366,1.0,0.2723403077379862,2023-01-27T02:08:06+00:00,1.4158747535702642e-10,0.0028607904110631386,0.7114609501259438,PT1M,2023-01-27T02:00:00+00:00,0.013335235672807439,2.715910612050019e-06
-155.845916071291,1.0,0.2320300279326184,2023-01-27T02:07:06+00:00,4.0899063977341816e-09,0.00283613216777834,0.7338083719638265,PT1M,2023-01-27T02:00:00+00:00,0.031302432275561315,2.3031570309042156e-05
-110.0493478594205,1.0,0.13590228842996938,2023-01-27T02:06:06+00:00,2.505346298428656e-07,0.0013736405567929882,0.7614486937259219,PT1M,2023-01-27T02:00:00+00:00,0.1008646333890957,0.00041049336359019485
-91.53375708128013,1.0,0.11604861138838414,2023-01-27T02:05:06+00:00,3.6101785089632532e-06,0.00163194435252452,0.7175563276745849,PT1M,2023-01-27T02:00:00+00:00,0.16279180376084504,0.001967702645152556
-57.686061752134044,1.0,0.0684678321279547,2023-01-27T02:04:07+00:00,9.751784122527943e-05,0.001366824499310001,0.5923300558358389,PT1M,2023-01-27T02:00:00+00:00,0.3242980536913323,0.013439716004339061
-27.88413644546017,1.0,0.04932064104678033,2023-01-27T02:03:06+00:00,0.0035027313662492916,0.0016221068464367533,0.45248549459983883,PT1M,2023-01-27T02:00:00+00:00,0.4336951116187399,0.059373914521954875
0.42209293879847465,1.0,0.05258210688826122,2023-01-27T02:02:06+00:00,0.002142424783855546,0.0022120430754323404,0.4329436844515948,PT1M,2023-01-27T02:00:00+00:00,0.45964561799491727,0.0504741228059388
3.561003590906548,1.0,0.06788452950594638,2023-01-27T02:01:06+00:00,0.002305197713481924,0.0033167545045405915,0.4389184004173351,PT1M,2023-01-27T02:00:00+00:00,0.4385132493861273,0.04906186847256852
-25.497521285979154,1.0,0.08153389933517502,2023-01-27T02:00:06+00:00,0.002706914254637724,0.0038310050776707723,0.46631624260791094,PT1M,2023-01-27T02:00:00+00:00,0.3974543775165155,0.04815756120808991
63.65837819051001,1.0,6.53215821168465e-11,2023-01-27T01:59:06+00:00,1.9065601066483e-07,2.877765142234798e-21,0.0028223005612062952,PT1M,2023-01-27T01:45:00+00:00,0.9907756665252554,0.006401842192206054
75.11092306677843,1.0,4.9041147475337e-10,2023-01-27T01:58:07+00:00,1.978812118245056e-06,3.0376692855573495e-19,0.003707178799683804,PT1M,2023-01-27T01:45:00+00:00,0.9784611853895533,0.017829656508233257
84.97965952893325,1.0,2.8081844209713114e-09,2023-01-27T01:57:06+00:00,1.3593916658114218e-05,1.5361883013576677e-17,0.005276602693063348,PT1M,2023-01-27T01:45:00+00:00,0.9555210493195663,0.0391887512625278
93.02255610165761,1.0,1.6440754666442256e-08,2023-01-27T01:56:06+00:00,6.66959406816868e-05,5.366333103991314e-16,0.007673916619643923,PT1M,2023-01-27T01:45:00+00:00,0.9227668080928381,0.06949256290608122
117.74510832152939,1.0,1.0002035642265897e-07,2023-01-27T01:55:06+00:00,0.0001986775097394279,1.910093015946926e-14,0.011167854731287395,PT1M,2023-01-27T01:45:00+00:00,0.8969057677670899,0.09172759997150783
116.69801189488062,1.0,6.24404817456112e-07,2023-01-27T01:54:06+00:00,0.0005459024201304262,4.51775493333165e-13,0.0203108074977454,PT1M,2023-01-27T01:45:00+00:00,0.8557817592387276,0.12336090643812726
102.69288254740331,1.0,4.064052958963052e-06,2023-01-27T01:53:07+00:00,0.004130742586394186,2.980873565176096e-11,0.030547697650648718,PT1M,2023-01-27T01:45:00+00:00,0.7261827555822395,0.23913474009794988
140.1452350949777,1.0,4.168642856945134e-06,2023-01-27T01:52:07+00:00,0.007360050390940989,1.1333691824252608e-10,0.02032736526082266,PT1M,2023-01-27T01:45:00+00:00,0.6332150516461541,0.33909336394588846
173.11673275144398,1.0,1.875214575521236e-05,2023-01-27T01:51:06+00:00,0.004978881897762179,2.6081932309125097e-09,0.03027739480908184,PT1M,2023-01-27T01:45:00+00:00,0.6933897772526607,0.2713351912865468
97.9685194274106,1.0,0.000505159864458067,2023-01-27T01:50:06+00:00,0.0033301714704184527,3.13627961846787e-07,0.13035906120684737,PT1M,2023-01-27T01:45:00+00:00,0.7180557332402058,0.14774956059010844
116.93691293540013,1.0,0.0010290102118733738,2023-01-27T01:49:07+00:00,0.006422855706140937,2.942238312426532e-06,0.12465961005259724,PT1M,2023-01-27T01:45:00+00:00,0.6786812502940549,0.18920433149702104
130.59135247401537,1.0,0.01044844430620315,2023-01-27T01:48:06+00:00,0.006950607530993262,0.00027103669136725104,0.24227424963563446,PT1M,2023-01-27T01:45:00+00:00,0.609521382217616,0.13053427961818595
63.09294539520687,1.0,0.01605683022925179,2023-01-27T01:47:06+00:00,0.0056459111692881755,0.00039471055169881656,0.3065868902281852,PT1M,2023-01-27T01:45:00+00:00,0.5491316547381442,0.12218400308343194
38.05673344039005,1.0,0.021993364647063255,2023-01-27T01:46:06+00:00,0.00564254983216415,0.0006577134789067955,0.33926815492205775,PT1M,2023-01-27T01:45:00+00:00,0.5171455443452896,0.11529267277451855
38.92720717676671,1.0,0.025417893448057713,2023-01-27T01:45:07+00:00,0.005778840179538319,0.0009040777395351188,0.3463262046919976,PT1M,2023-01-27T01:45:00+00:00,0.5066925720734098,0.11488041186746142
9.680490398158454,1.0,2.3901598430992127e-06,2023-01-27T01:44:06+00:00,9.255272648498905e-12,4.0672339013335675e-14,0.3781243185261455,PT1M,2023-01-27T01:30:00+00:00,0.621854272327753,1.9018976962579673e-05
1.4364124724245961,1.0,1.2247005749208345e-05,2023-01-27T01:43:06+00:00,1.182003336405443e-10,2.2833046020996485e-12,0.39879414184366935,PT1M,2023-01-27T01:30:00+00:00,0.6011362428278466,5.7368202251058644e-05
16.668737618930578,1.0,5.171719331662317e-05,2023-01-27T01:42:06+00:00,9.188136189705573e-10,7.700538099987445e-11,0.417848465136159,PT1M,2023-01-27T01:30:00+00:00,0.5819804018533793,0.00011941482132616202
17.794230538356704,1.0,0.0002455113447622253,2023-01-27T01:41:06+00:00,4.972588058720292e-09,1.8739422336305975e-09,0.5219385516886915,PT1M,2023-01-27T01:30:00+00:00,0.47762795612169,0.00018797399832602485
-9.541603088781144,1.0,0.001035679268910936,2023-01-27T01:40:06+00:00,1.7254456889415422e-08,3.164362232686254e-08,0.63911851746745,PT1M,2023-01-27T01:30:00+00:00,0.3595922702565873,0.0002534841089726151
-10.935818628449013,1.0,0.0036408504710490268,2023-01-27T01:39:06+00:00,2.90517010118808e-08,5.435379408189633e-07,0.6532899227693904,PT1M,2023-01-27T01:30:00+00:00,0.3427453846627574,0.00032326950716143237
-19.459723116645566,1.0,0.01940179774441557,2023-01-27T01:38:06+00:00,1.2557788548591524e-07,2.8248026119240893e-05,0.7305539298637692,PT1M,2023-01-27T01:30:00+00:00,0.2495150240370105,0.0005008747507999899
-83.68923276046148,1.0,0.05432844832221563,2023-01-27T01:37:06+00:00,3.01396263881977e-07,0.00012278849709464662,0.8155068843869454,PT1M,2023-01-27T01:30:00+00:00,0.12967570698442787,0.0003658704130525402
-58.66267912359578,1.0,0.02636872345677419,2023-01-27T01:36:06+00:00,9.723123424879453e-06,5.6951753337133334e-05,0.675820740851241,PT1M,2023-01-27T01:30:00+00:00,0.29392869166901225,0.0038151691462106076
12.216769700639247,1.0,0.01106319007005929,2023-01-27T01:35:06+00:00,0.00014849069300340838,3.74020953450806e-05,0.402190162927378,PT1M,2023-01-27T01:30:00+00:00,0.5591341391133108,0.027426615100903478
-1.5898002750875868,1.0,0.02609692336687607,2023-01-27T01:34:06+00:00,0.00035384559968293193,0.0002827135015655536,0.4473237533896164,PT1M,2023-01-27T01:30:00+00:00,0.49306077290894523,0.03288199123331396
